Company Name,Year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Status
C_1,2011,0.53,0.81,4.15,11.71,0.38,2.49,0.83,0.07,1.18,-0.09,0.21,0
C_2,2011,0.22,0.19,4.51,2.41,0.15,-2.46,-0.15,0.2,-0.03,0.47,0.25,0
C_3,2011,1.87,0.82,7.93,21.71,1.25,12.3,0.12,-0.04,0.39,-0.16,0.38,1
C_4,2011,2.88,0.68,4.68,3.37,2.37,161.36,0.4,0.05,0.46,-0.21,0.67,1
C_5,2011,1.64,1.11,3.48,5.5,1.1,86.64,0.48,-0.1,0.87,0,0.51,1
C_6,2011,0.93,1.3,3.73,9.3,0.32,2.67,0.18,-0.18,-0.08,-0.29,0.3,0
C_7,2011,1.65,0.34,0,0,0,262.8,0.59,-0.12,1.54,-0.36,0.9,1
C_8,2011,1.4,1.6,2.44,6.6,0.58,7.09,0.4,-0.28,0.12,-0.14,0.48,1
C_9,2011,5.52,0.12,0,0,0,0,0.28,-0.14,0.35,-0.02,0.12,1
C_10,2011,0.5,0.32,4.64,4.2,0.28,-0.6,0.16,0.06,-0.03,-0.03,-0.17,0
C_11,2011,0.85,1.04,4.53,8.43,0.53,6.45,0.48,-0.09,0.62,-0.21,0.14,0
C_12,2011,0.14,0.06,2.93,1.79,0.08,-31.46,-0.37,-0.03,-0.03,0.29,0.56,0
C_13,2011,0.76,0.5,2.41,2.24,0.64,-11.47,0.24,0.26,-0.23,0.49,-1.1,0
C_14,2011,1.5,0.05,0.7,0.45,0.93,-0.91,0.01,-0.32,-0.66,0.3,-1.37,1
C_15,2011,0.57,0.08,0.05,0.83,0.06,-0.05,0.46,-0.02,0.01,-0.23,-0.57,0
C_16,2011,10.68,0.48,2.93,8.35,7.58,7632.09,0.26,0,2.01,0.09,0.79,1
C_17,2011,6.02,0.67,5.15,9.4,4.67,5866.03,0.2,-0.03,1.87,0.02,0.57,1
C_18,2011,0.32,0.43,26.66,6.45,0.29,-0.81,0.18,0.1,0.06,-0.25,-0.86,0
C_19,2011,1.79,0.09,0,0,0,2.32,1,-0.15,0.96,0.06,0.25,1
C_20,2011,2.08,0.39,1.48,0.72,1.46,11.91,0.15,-0.01,-0.02,0.15,-0.27,1
C_21,2011,0.5,0.48,18.92,4.04,0.44,22.5,0.27,0.01,0.26,-0.08,0.1,0
C_22,2011,11.7,0.38,37.68,0.69,11.4,0,-0.23,0.1,0.3,0.15,0.69,1
C_23,2011,0.75,0.62,1.52,2.43,0.36,1.56,0.37,0.07,0.24,-0.28,0.07,0
C_24,2011,0.03,0.07,9.08,1.74,0.01,-6.67,-1.82,0.53,-0.02,0.52,-0.96,0
C_25,2011,1.98,0.62,0,0,0,0,0.84,-0.07,0.35,-0.11,0.67,1
C_26,2011,1.94,0.29,2.21,4.13,1.05,10.83,0.3,-0.01,0,0.1,0.07,1
C_27,2011,5.4,0.67,1.47,3.28,2.54,39.13,0.45,0.06,1.4,-0.08,0.64,1
C_28,2011,0.66,1.03,42.54,12.54,0.62,21.96,0.52,-0.33,1.09,-0.11,0.61,0
C_29,2011,1.19,0.6,0,0,1.06,5.57,0.75,-0.07,0.97,0.16,-0.85,1
C_30,2011,6.38,0.35,5.29,6.81,4.38,28.6,0.22,-0.04,1.25,-0.21,0.89,1
C_31,2011,0.46,0.74,4.21,2.6,0.41,0.89,0.74,-0.07,0.06,-0.07,0.1,0
